127.0.0.1 - - [24/Apr/2019:12:32:21 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:32:22 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:32:46 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:33:24 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:33:24 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:34:15 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:46:50 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:51:22 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:52:16 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:53:57 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:54:09 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:54:34 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:56:22 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:56:44 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:56:55 +0200] "GET /05_Web/Inicio.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:57:00 +0200] "GET /05_Web/Inicio.html?nombreUsuario=&passwordUsuario= HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:57:26 +0200] "GET /05_Web/Inicio.html?nombreUsuario=&passwordUsuario= HTTP/1.1" 304 -
